article_type.code;article.code;article.description;article.duree_validite
MP;008093;HELVETOLIDE (GSP STO);180
MP;009010;IONONE ALPHA (ex-white coeur );180
MP;009011;IONONE BETA;180
MP;009014;IRALIA (GSP STO);180
MP;009024;IRONE ALPHA REFINED (GSP STO);180
MP;009029;ISO AMYL BUTY;180
MP;009034;ISO BORNEOL CRYST;180
MP;009035;ISO BORNYL ACET;180
MP;009041;ISO BUTYL ISO BUTY;180
MP;009044;ISO BUTYL QUINOLINE (GSP STO);180
MP;009045;ISO BUTYL SAL;180
MP;009057;ISO PAR L;180
MP;009059;ISO PHYTOL 95% MINI;180
MP;009062;ISO PROPYL MYRISTATE;180
MP;009068;ISO E SUPER;180
MP;009069;IRONE V (GSP STO);180
MP;009096;IONONE ALPHA;180
MP;009101;ISO BORNYL METH ETHER;180
MP;009120;ISO RALDEINE 70;180
MP;009129;ISO BUTYL QUINOLINE, 2 (GIV) - GSP STO;180
MP;009135;ISO PAR M;180
MP;010050;JAVANOL;180
MP;010063;JASMODIONE (HEDIONE HC TICSA);180
MP;011001;KOAVONE;180
MP;011002;KOHINOL;180
MP;011005;KEPHALIS LRG-1182;180
MP;012059;LINALOOL SYN;180
MP;012061;LINALYL ANTH (ex GSP);180
MP;012069;LINALYL PROP;180
MP;012076;LEVOSANDOL;180
MP;012098;LINALOOL NAT (*);180
MP;013003;MAJANTOL;180
MP;013019;MAYOL;180
MP;013026;MENTHANYL ACET;180
MP;013041;METH CHAVICOL NAT;180
MP;013055;METH IONONE EXTRA (UC);180
MP;013056;METH IONONE, GAMMA A;180
MP;013057;METH ISO EUGENOL;180
MP;013061;METH LINOLEATE (GSP STO);180
MP;013064;METH NONYL KETONE;180
MP;013105;MUSCONE (GSP STO);180
MP;013113;MUSK T (ETHYLENE BRASSYLATE);180
MP;013118;MYRCENYL ACET (GSP STO);180
MP;013134;MUSCENONE 962191;180
MP;013136;MEFRANAL (GSP STO);180
MP;013138;MUSK KETONE;180
MP;013168;MUGETANOL;180
MP;013172;DL-MENTHOL;180
MP;013174;MUSK 15;180
MP;013182;METH IONONE GAMMA COEUR (ACD );180
MP;013200;MUSCONE, L;180
MP;013208;MUSK R-1 (GSP STO);180
MP;014001;NAPHTHOL ISO BUTYL ETHER, BETA;180
MP;014007;NEROL PURE (ACD);180
MP;014008;NEROL 900;180
MP;014019;NEROLIDOL SYN;180
MP;014020;NEROLIN BROMELIA;180
MP;014031;NOPYL ACET;180
MP;014032;NORLIMBANOL DEXTRO;180
MP;014036;NOOTKATONE 98% (ex GSP);180
MP;014041;NEROLIDOL NATURAL (GSP STO);180
MP;014046;NEOFOLIONE;180
MP;014062;NEODOL 91-8;180
MP;015037;ORANTHA L SUPER (RFFR309);180
MP;015038;ORBITONE T (W/O BHT);180
MP;015046;ORIVONE (GSP STO);180
MP;015047;OXALIDE T;180
MP;015075;OKOUMAL (GSP STO);180
MP;015097;ORBITONE BHT / ISO E SUPER;180
MP;016008;PATCHONE;180
MP;016038;PHEN ETH 2-METH BUTY (GSP);180
MP;016042;PHEN ETH BENZOATE;180
MP;016045;PHEN ETH CINNAMATE (GSP STO);180
MP;016047;PHEN ETH ISO BUTY;180
MP;016048;PHEN ETH ISO VAL (GSP);180
MP;016051;PHEN ETH PHEN ACET;180
MP;016054;PHEN ETH SAL;180
MP;016061;PHEN SAL;180
MP;016062;PHENOXANOL;180
MP;016077;PINENE ALPHA PF;180
MP;016078;PINENE BETA;180
MP;016081;PLICATONE (GSP STO);180
MP;016083;PRECYCLEMONE B;180
MP;016086;PRENYL SAL;180
MP;016099;POLYSANTOL;180
MP;016128;PERANAT;180
MP;016163;PAMPLEFLEUR (ex GSP);180
MP;016183;PICONIA  CEM (KETONE PATCHOULI);180
MP;016198;POLYAMBROL;180
MP;018005;RHODINOL E (GSP STO);180
MP;018006;RHUBAFURAN;180
MP;018007;RHUBOFIX CNC (GSP STO);180
MP;018015;ROSE OXIDE;180
MP;018030;ROSEPHENONE;180
MP;018062;ROSAPHENE;180
MP;018078;ROMANDOLIDE;180
MP;018079;ROSE OXIDE, LAEVO-CIS,;180
MP;019005;SANDALORE;180
MP;019008;SANTALEX T (ISOBORNYL CYCLOHEXANOL);180
MP;019017;STYRALLYL ACET;180
MP;019037;SYVERTAL (GSP STO);180
MP;019042;SPIRAMBRENE (GSP STO);180
MP;019091;SCLAREOLATE 981816;180
MP;020010;TERPINOLENE 20;180
MP;020011;TERPINYL ACET;180
MP;020015;TH LINALOOL (Tetrahydrolinalol);180
MP;020016;TH MYRCENOL DM;180
MP;020017;THESARON;180
MP;020023;THYMOL CRYST;180
MP;020031;TONALID;180
MP;020064;TREFLONE;180
MP;020076;TIMBEROL;180
MP;020098;TH GERANYL ACET;180
MP;020132;TOSCANOL (GSP STO);180
MP;020136;TERPINYL METH ETHER;180
MP;020139;TERPINOLENE 90 PQ;180
MP;021004;UNDECAVERTOL;180
MP;022009;VANITROPE (GSP);180
MP;022010;VANORIS;180
MP;022012;VELOUTONE;180
MP;022020;VERDOX;180
MP;022022;VERTENEX;180
MP;022023;VERTOFIX COEUR;180
MP;022024;VETIKOL ACET (GSP STO);180
MP;022029;VETIVERYL ACET (GSP STO);180
MP;022049;VIOLETTYNE MIP (GSP STO);180
MP;022051;VERDORACINE (GSP STO);180
MP;022053;VETYRISIA (GSP STO);180
MP;023002;WOODYFLOR;180
MP;025002;YARA YARA;180
MP;100483;AMBERGRIS T OLIFFAC vers 0612;180
MP;101383;CETONE ALPHA;180
MP;104746;ISO RALDEINE 95 PURE;180
MP;108111;TERPINYL ACET;180
MP;123253;CITRONELLOL COEUR;180
MP;123275;CITRONELLOL 700 (98 TA);180
MP;124478;METH IONONE ALPHA;180
MP;124669;NERYL ACET PRIME;180
MP;131623;CIVETTONE 926851;180
MP;132400;CREMOPHOR CO 40;180
MP;220925;CEDRYL ACET LIQUID;180
MP;221454;DIPENTENE 38 PF;180
MP;225537;TH GERANIOL UC;180
MP;227797;TIBETOLIDE (LACTONE MC15);180
MP;230904;PIVAROSE;180
MP;231792;CETONE V;180
MP;235029;SILVANONE SUPRA;180
MP;235079;SOLUBILISANT LRI;180
MP;235100;AURELIONE;180
MP;235202;CITRONELLYL ACET (PRIVI);180
MP;235203;CITRONELLYL ACET (BASF);180
MP;002036FR;BENZOPHENONE;180
MP;002051FR;BOISAMBRENE FORTE;180
MP;003026FR;CARYOPHYLLENE, BETA;180
MP;005050FR;EXALTOLIDE TOTAL;180
MP;005055FR;EXALTOLIDE PURE;180
MP;009068FFP;ISO E SUPER BHT;180
MP;020016FR;TH MYRCENOL DM;180
MP;025002FR;YARA YARA;180
MP;BYC4035TEU;IRISONE ALPHA (GSP STO);180
MP;ECO090204;GERANYL ACET NAT;180
MP;ECO090216;CITRONELLOL ex-EUCALYPTUS NAT;180
MP;ECO090220;BENZ SAL NAT;180
MP;ECO090224;ISO PROPYL MYRISTATE ECOCERT (IPM ECOCER;180
MP;ECO090243;IONONE BETA NAT;180
MP;FFP001051;ALLYL CYCLOHEXYL PROP (GSP STO);180
