article_type.code;article.code;article.description;article.commentaire;article.collection
C;BPM090815A/BPM;BRIT RHTYM FOR HER 12%WW;12041386A;1
C;BPM107293B/BPM;ABERCROMBIE MEN EDT  10%PV;12050233B;1
C;BPM108214H/BPM;CHERIE M D    4%WW;12055709H;1
C;BPM108215G/BPM;SOLO LOEWE 6%PV SPAIN;12057078G;1
C;BPM108216A/BPM;VERSENSE  12%WW;12051074A;1
C;BPM108427AG/BPM;DOLCE .G WOMEN 1.5% FT304 ROLL ON;12039631AG;1
C;BPM109459BC/BPM;ETERN+ POLO B  1%;12055201BC;1
C;BPM111058L/BPM;OBSESSION;12056124L;1
C;BPM111781AF/BPM;LAIT MIEL QUINTESSENCE1%FT331;12056172AF;1
C;BPM111805BP/BPM;GLOBE  FOR ME  1%FT331;12055611BP;1
C;BPM111805X/BPM;GLOBE  FOR MEN1%DEO;12055611X;1
C;BPM111805X/BPM;GLOBE  FOR MEN1%DEO;12055611X;1
C;BPM111806C/BPM;BULGARIE BLACK 1%FT278;12053331C;1
C;BPM111806H/BPM;BULGARIE BLACK 1%FT332;12053331H;1
C;BPM112345N/BPM;SAMSARA  1%WW BODY LOTION;12057693N;1
C;BPM112345X/BPM;SAMSARA;12057693X;1
C;BPM112358H/BPM;HUILE D'AMANDE CADUM;12059591H;1
C;BPM148997AN/BPM;FIGUE RIZ CAMOMILLE AVON  10% EDT;12056106AN;1
C;BPM159043CV/BPM;LADY MILLON 1% BODY MILK BASE CLIENT;12046498CV;1
C;BPM162005DM/BPM;IM DOLLAR 1% FT346;12053332DM;1
C;BPM163383D/BPM;BABY SOUL 10%WW;12047703D;1
C;BPM163389DK/BPM;ECRIN/TOBACCO 10%WW;12056480DK;1
C;BPM163758DA/BPM;CHLOE GOUDRON 1%FT360A  EUFR13-01134;12056274DA;1
C;BPM165335/BPM;POTIRON REGLISSE 5%WW;12057593;1
C;BPM165335/BPM;POTIRON REGLISSE 5%WW;12057593;1
C;BPM166277CI/BPM;AROMATIQUE BOISE CARNA  ?%  AQUA BASE;12056914CI;1
C;BPM168464D/BPM;HUGO ELEMENT 0.5% FT325;12058340D;1
C;BPM179621/BPM;JSORIE016;12055210;1
C;BPM179621/BPM;JSORIE016;12055210;1
C;BPM179621/BPM;JSORIE016;12055210;1
C;BPM181571D/BPM;JSORIE099B+COEUR HS  0.5%FT360A;12055237D;1
C;BPM181571E/BPM;JSORIE099B+COEUR HS  0.6%FT360A;12055237E;1
C;BPM182345/BPM;MUGLER A MEN 10% WW;12055247;1
C;BPM182345C/BPM;MUGLER A MEN 1% WW FT332;12055247C;1
C;BPM182645R/BPM;BAMBOO  OLIVE 1%FT331;12055607R;1
C;BPM214456G/BPM;ABRICOT/BASIL  12%EDT   SUPER URGENT MARIANNA !!!!;12058100G;1
C;BPM215359R/BPM;LE MALE 1% MOUSSE À RASER;12057347R;1
C;BPM215661AC/BPM;SEL D'AMBRE  1% FT331;12056471AC;1
C;BPM215661AD/BPM;SEL D'AMBRE  2.5%FT331;12056471AD;1
C;BPM216872V/BPM;COCO  LAIT  LENHART 1%FT331;12055642V;1
C;BPM217631G/BPM;POUDRE CANON 14%WW;12056639G;1
C;BPM217722BE/BPM;KENZOKI BAMBOO;12055825BE;1
C;BPM217722BH/BPM;KENZOKI BAMBOO 1% FT331;12055825BH;1
C;BPM218106A/BPM;TERRE 1%CB4264;12056713A;1
C;BPM218213DM/BPM;BOSS BY BOSS 10%WW WATER BASE;12057831DM;1
C;BPM218377W/BPM;COCA 1% SHOWER GEL DELKAM;12056948W;1
C;BPM218377W/BPM;COCA 1% SHOWER GEL DELKAM;12056948W;1
C;BPM218610AB/BPM;AQDG MEN EDT;12056804AB;1
C;BPM218653AC/BPM;BLACK TEA LENHART;12059187AC;1
C;BPM218653P/BPM;BLACK TEA LENHART;12059187P;1
C;BPM219418C/BPM;RAISIN BODY CREAM 1%FT331;12056126C;1
C;BPM220324V/BPM;CAMOMILLE NAT 0.1% BASE CLIENT;12058541V;1
C;BPM220324V/BPM;CAMOMILLE NAT 0.1% BASE CLIENT;12058541V;1
C;BPM220950U/BPM;FREESIA NAT 1% SHOWER 100% NAT;12056970U;1
C;BPM220950U/BPM;FREESIA NAT 1% SHOWER 100% NAT;12056970U;1
C;BPM224278I/BPM;EAUFRAICHE  ISSEY FLORALE MARINE 0.7%;12056241I;1
C;BPM224392AI/BPM;IDE H2O POCKETWOMEN  12%WW;12058071AI;1
C;BPM224755CW/BPM;ADVENT.AQDG KENZO 8%WW N°;12056105CW;1
C;BPM225154/BPM;OBSESSION DUNE;12058637;1
C;BPM225154A/BPM;OBSESSION DUNE 1%FT331;12058637A;1
C;BPM225430E/BPM;OCEAN LAUNGE  0.4%WATER BASE;12059203E;1
C;BPM225733Y/BPM;BOIS D'ORANGE RG  1%WW FT332;12055928Y;1
C;BPM226242I/BPM;PRUNE REINE CLAUDE  1%FT331;12056850I;1
C;BPM226474C/BPM;AMBER GOURMAND 0.3%FT332;12056028C;1
C;BPM226540/DGI;BP/DGWOOD017R;12058001;1
C;BPM226799/BPM;SECRET OBSESSION BPDKORIE013Z 1%FT277R;12057192;1
C;BPM226799/BPM;SECRET OBSESSION BPDKORIE013Z 1%FT277R;12057192;1
C;BPM227120C/BPM;COGNAC  5%;12056118C;1
C;BPM229456B/BPM;CERISE CHUPA NBFRUI018A;12058421B;1
C;BPM229528/BPM;BOIS DE CEDRE 1 %FT331 LEGENDA   EUFR12-00947;12055902;1
C;BPM229654B/BPM;BETTRAVE CAFE  CANNELIER  HERB COUPEES 10%WW QUINT;12058518B;1
C;BPM229898A/BPM;LYCHEE RAMBUTAN SBFRUI036A 0.5%FT332;12057075A;1
C;BPM229898B/BPM;LYCHEE RAMBUTAN  BETTRAVE  1%FT331;12057075B;1
C;BPM229898J/BPM;LYCHEE RAMBUTAN 1%FT332;12057075J;1
C;BPM230013A/BPM;BASIL EDT 12%WW  URGENT MARIANNA !!!!!;12058605A;1
C;BPM230330C/BPM;P'TITE  R.NOIRE  10%WW BOUGIE;12057197C;1
C;BPM230330N/BPM;P'TITE  R.NOIRE  14%WW EDT EUFR14-00009;12057197N;1
C;BPM230732D/BPM;REM 1%FT332;12057381D;1
C;BPM230736F/BPM;FAN FOR MEN 10% EUFR13-00972;12057920F;1
C;BPM230736G/BPM;FAN FOR MEN 10% EUFR13-00972;12057920G;1
C;BPM230870B/BPM;BOMBASSE  1.5% BASE PANTENE;12059062B;1
C;BPM230870H/BPM;BOMBASSE  1%FT331;12059062H;1
C;BPM230870L/BPM;BOMBASSE EDT 10%WW;12059062L;1
C;BPM230900G/BPM;LAVANDE ECOCERT;12057186G;1
C;BPM230900G/BPM;LAVANDE ECOCERT;12057186G;1
C;BPM231306A/BPM;SFWOOD303H;12060771A;1
C;BPM231482B/IFA;THE AUX EPICES CHAI LATTE 1%FT332;12059212B;1
C;BPM231483C/BPM;BPJSFLO150AH;12058555C;1
C;BPM231628/NBO;BPNB035B;12060231;1
C;BPM231628/NBO;BPNB035B;12060231;1
C;BPM231872/BPM;NARCISSO COCO JSCHYP005CE 12%WW;12058931;1
C;BPM231966B/BPM;TERRE H/ EAU FRAICHE 10% ALC NATHALIE M;12060325B;1
C;BPM232629/BPM;FLORAL ROSE CITRUS NBCITR022T 12% EDT;12060824;1
C;CBO161972F/CBO;JABUTICABA - BRAZILIAN GRAPE - BENTO MOD;12053273F;1
C;CBO162389/CBO;CAJU  - BENTO PROJECT TEPL;12050568;1
C;CBO163873/CBO;GOIABA - VERDE - BENTO PROJECT - TEPL;12058412;1
C;CBO164896B/CBO;SAPOTI - BENTO COLLECTION TEPL/TBR MOD 1;12059078B;1
C;CCH092543AI/CCH;BEAT THE FRESHMATIC - LAVENDER;12049392AI;1
C;DGI019348AL/DGI;AMOR+ DOVE SHAMP 4.5EUROS;12049792AL;1
C;DGI019348FI/DGI;WHITE LOVE DGORIE014G+ROSE CNV;12049792FI;1
C;DGI019348FX/DGI;WHITE LOVE DGORIE014G+2NATUREL;12049792FX;1
C;DGI020427AK/DGI;ELSEVE BASE LIGHT BLUE;12056921AK;1
C;DGI020427AK/DGI;ELSEVE BASE LIGHT BLUE;12056921AK;1
C;DGI020427CT/DGI;ELSEVE ENERGIZING CNV;12056921CT;1
C;DGI020428AW/DGI;RALPH 7EUROS;12050133AW;1
C;DGI021690B/DGI;ACCORD WATER LILIY HEADSPACE MIX;12056066B;1
C;DGI030537FJ/DGI;VANILLA PISO;12047900FJ;1
C;DGI030537GF/DGI;LAVENDER ORIENTAL;12047900GF;1
C;DGI030537L/DGI;HYPNOTIC HENKEL;12047900L;1
C;DGI030729BG/DGI;LIGHT BLUE APS FA;12048348BG;1
C;DGI030729BW/DGI;LIGHT BLUE IITALSILVA;12048348BW;1
C;DGI030748I/DGI;BODY BURB *** SHAMP;12055703I;1
C;DGI031663E/DGI;ROUGE DOUX AMERE;12055606E;1
C;DGI031664/DGI;ECLAT D'AMOUR 88A;12056577;1
C;DGI031746M/DGI;ENCAPSULATION PERSIL LIQUID;12041791M;1
C;DGI032336AK/DGI;INCI INGREDIENT;12056845AK;1
C;DGI032501B/DGI;CHOCO/ NOISETTE;12042257B;1
C;DGI032501B/DGI;CHOCO/ NOISETTE;12042257B;1
C;DGI032501B/DGI;CHOCO/ NOISETTE;12042257B;1
C;DGI032948BF/DGI;FLOWER SNOW;12047985BF;1
C;DGI032948BS/DGI;FLOWER SNOW;12047985BS;1
C;DGI032949M/DGI;JASMIN ORCHID PASSION FLOWER;12048039M;1
C;DGI034535BG/DGI;CLEAN MUSK;12044721BG;1
C;DGI035552O/DGI;KILOTUS KERA + IRIS;12054738O;1
C;DGI035553F/DGI;VIOLETTE/ MURE EN FEERIE;12059074F;1
C;DGI088075CB/DGI;MOON SPAKLE OCEAN;12046628CB;1
C;DGI088075CB/DGI;MOON SPAKLE OCEAN;12046628CB;1
C;DGI088259BN/DGI;CREAMY SOAP MUSKY SANS LILIAL;12053629BN;1
C;DGI089378AQ/DGI;TIARÉ + AQUATIQUE;12055664AQ;1
C;DGI089378AQ/DGI;TIARÉ + AQUATIQUE;12055664AQ;1
C;DGI089560G/DGI;SOD HONEY REWORK;12031707G;1
C;DGI089560H/DGI;SOD HONEY REWORK;12031707H;1
C;DGI089994DC/DGI;ALMOND SOLAIRE HYPO ECOCERT;12044816DC;1
C;DGI090622A/DGI;EAU DE GIV J'ADORE;12060573A;1
C;DGI092194AB/DGI;INSTANT DOP;12049288AB;1
C;DGI092194AB/DGI;INSTANT DOP;12049288AB;1
C;DGI092194DO/DGI;INSTANT MADEL MALODOR;12049288DO;1
C;DGI107196AT/DGI;LAVANDER FRESH AND LIGHT;12037715AT;1
C;DGI108420AN/DGI;EUCALYPTUS ITALSILVA;12043362AN;1
C;DGI111556S/DGI;DURU LEMON COLOGNE;12056442S;1
C;DGI111807S/DGI;AMBRE D'ARMENIE;12058669S;1
C;DGI112296/DGI;SEVE CHLOROPHILE;12046903;1
C;DGI112297N/DGI;HERBE COUPÉE;12057120N;1
C;DGI154035S/DGI;FRUCT RAISIN/WATER MELON ECOCERT HYPO;12056516S;1
C;DGI157080AF/DGI;ALOE VERA ECOCERT;12044817AF;1
C;DGI157080AL/DGI;ALOE VERA ECOCERT BONNE;12044817AL;1
C;DGI157080X/DGI;ALOE VERA ECOCERT;12044817X;1
C;DGI157080X/DGI;ALOE VERA ECOCERT;12044817X;1
C;DGI158547N/DGI;EDELWEISS SNOW FLOWER;12049791N;1
C;DGI159108BD/DGI;THE GRIS COLORE NEFLIER (JJFLO315A);12055812BD;1
C;DGI163473C/DGI;FEU D'AMANDE ET FIG;12056853C;1
C;DGI163635A/DGI;SENSOUS SPICEBOMB MIEL;12056767A;1
C;DGI164517A/DGI;COEUR D'ANGE;12057047A;1
C;DGI164536A/DGI;ENERGIC RED BULL + CHEW;12053676A;1
C;DGI164536A/DGI;ENERGIC RED BULL + CHEW;12053676A;1
C;DGI165270E/DGI;MOON CHERRY;12049753E;1
C;DGI170127AE/DGI;SPA THERMAL KERASTASE 6EUROS PCM LOTSU ROSE;12051824AE;1
C;DGI170127AO/DGI;SPA THERMAL SEL MINERAUX SURFACE CLEANER;12051824AO;1
C;DGI170228EM/DGI;EAU DE CARTIER/MENTHE HYPO GREEN TEA ECOLABEL;12048524EM;1
C;DGI177299D/DGI;FLOWER DE COQUELICOT BLÉ;12049289D;1
C;DGI177299O/DGI;FLOWER DE NOISETTE & GELEE ROYALE;12049289O;1
C;DGI178060R/DGI;VANILLE CARAMEL AU LAIT;12048019R;1
C;DGI180096Y/DGI;BLUE SPIRIT;12059229Y;1
C;DGI180187I/DGI;MOJITO;12050479I;1
C;DGI180188L/DGI;MANGE FL 2632;12050198L;1
C;DGI180189H/DGI;VANILLE & ORCHID;12050530H;1
C;DGI180189J/DGI;VANILLE & ORCHID;12050530J;1
C;DGI180424L/DGI;BORN IN PARIS;12058886L;1
C;DGI180542AD/DGI;CASSIS IN LOVE;12056839AD;1
C;DGI180628AK/DGI;JARDIN D'ETE MERVEILLEUX NEUTRALISATEUR D'ODEUR;12055722AK;1
C;DGI180628BF/DGI;JARDIN D'ETE MERVEILLEUX;12055722BF;1
C;DGI180628BP/DGI;CHYPRE KUMQUAT/ABRICOT MERVEILLEUX;12055722BP;1
C;DGI181160BH/DGI;ADDICT / PISTACHE / COCONUT;12056364BH;1
C;DGI181160M/DGI;DIOR ADDICT / PISTACHE / COCONUT;12056364M;1
C;DGI202293AS/DGI;BOIS D'ORCHIDÉE;12055648AS;1
C;DGI202293BJ/DGI;BOIS D'ORCHIDÉE;12055648BJ;1
C;DGI220528F/DGI;MANIA BOUGIE;12057576F;1
C;DGI220633J/DGI;APPLE CRUNCHY SAME AS DGFRUI041E;12056905J;1
C;DGI220917J/DGI;ECOCERT AROMATES ET VERVEINE;12057915J;1
C;DGI220917J/DGI;ECOCERT AROMATES ET VERVEINE;12057915J;1
C;DGI222024BK/DGI;PANTENE PRO-V CLASSIC;12056264BK;1
C;DGI222833C/DGI;VERNEL RELAX YLANG;12056836C;1
C;DGI223106O/DGI;LENOR BLUE FRANCE (AVEC C11);12057518O;1
C;DGI224246/DGI;TRIPLET FIRMICH;12058288;1
C;DGI224247/DGI;TRIPLET SYMRISE;12058289;1
C;DGI224257D/DGI;FRUIT VELOUTEUX HYPONATAK ECOCERT;12055948D;1
C;DGI224589N/DGI;ACCORD ZESTE VERT AQUA;12056556N;1
C;DGI225067F/DGI;PANTENE NATURE FUSION;12057550F;1
C;DGI225609A/DGI;ROSE / FIGUE ECOCERT;12057383A;1
C;DGI225657O/DGI;DIOR HOMME SPORT MENN EXPERT;12056937O;1
C;DGI226048AQ/DGI;JARDIN SUR LE NIL/ VERVEINE;12055671AQ;1
C;DGI226048C/DGI;JARDIN SUR LE NIL/ VERVEINE;12055671C;1
C;DGI226048P/DGI;JARDIN SUR LE NIL/ VERVEINE;12055671P;1
C;DGI226048U/DGI;JARDIN SUR LE NIL/ VERVEINE MODE P+ORANGERFLOWER;12055671U;1
C;DGI226092/IFA;REWORK IFFLO013F;12057649;1
C;DGI226336M/DGI;CHERRY /VANIILA;12055859M;1
C;DGI226388T/DGI;CANDY ROSE FLORAL + CNV RELAX;12055830T;1
C;DGI226557AF/DGI;FEB LENOR ANAIS;12056294AF;1
C;DGI226841BH/DGI;NOIX DE COCO FRAICHE WAVE;12056545BH;1
C;DGI226841D/DGI;NOIX DE COCO FRAICHE;12056545D;1
C;DGI227330A/DGI;KERA TROUBLE;12058211A;1
C;DGI227912D/DGI;FRESH FLORAL;12060162D;1
C;DGI228474B/DGI;LAIT D'AMANDE DE CHEZ CASTEL;12058629B;1
C;DGI228476C/DGI;CHEWINGUM MANGOSTEEN BANANA GENOISE;12059010C;1
C;DGI228476C/DGI;CHEWINGUM MANGOSTEEN BANANA GENOISE;12059010C;1
C;DGI228477D/DGI;CHEWING-GUM FRAISE **;12059592D;1
C;DGI228571B/DGI;BANG BANG;12056635B;1
C;DGI228571C/DGI;CHARBON ACTIF BANG;12056635C;1
C;DGI228571K/DGI;BANG BANG ***;12056635K;1
C;DGI228669B/DGI;ACCORD LINGE PROPORE JJFLO111 + AROMATIC;12056861B;1
C;DGI229129A/DGI;PETIT ET MAMAN...THE LAST ONE;12055778A;1
C;DGI229157/NLE;NCTOWA001T;12055877;1
C;DGI229213/DGI;ACCORD HYPNOTIC ORIENTAL BOISE;12056558;1
C;DGI229274C/DGI;NEW AGE ELNET;12057323C;1
C;DGI229344A/DGI;DGFLO783B SANDAL ROSE FOR DUBAI+ FOND JFSLO165;12056703A;1
C;DGI229703/DGI;CSGTEA026T KUMEDE SOFTNER;12057764;1
C;DGI229704/DGI;YNON024A BANINI;12059468;1
C;DGI229998/DGI;IKISKY ONKENZ001AB;12058777;1
C;DGI230199A/DGI;DELICIOUS ROSE;12061992A;1
C;DGI230291A/DGI;MOD RZNC006B;12059107A;1
C;DGI231345A/DGI;LAVENDER AIR;12062696A;1
C;DGI231439J/DGI;PALMOLIVE NATURALS;12062720J;1
C;DGI231620A/DGI;SANDAL ENCENS;12058462A;1
C;DGI231673/DGI;ELSEVE ANTI-CASSE;12060044;1
C;DGI232337D/DGI;FILBRALOGIE;12062724D;1
C;DGI232421A/DGI;SOLEIL CAMMELLE & POMME;12062709A;1
C;DGI232706A/DGI;OLD PANTENE JAPAN;12062719A;1
C;DLK105592BB/DLK;JEANNE LANVIN SHAMPOO MOD1;12037403BB;1
C;DLK105592K/DLK;JEANNE LANVIN HYPO 11K;12037403K;1
C;DLK207459V/DLK;BLACKBERRY ARCTIQUE MOD5;12057035V;1
C;DLK208679B/DLK;ABSOLUT RHUM 7B;12057421B;1
C;DLK222562F/DLK;ACQUA FRESCA ECOCERT MOD5;12057387F;1
C;DLK222562J/DLK;ACQUA FRESCA ECOCERT TECN;12057387J;1
C;DLK222562J/DLK;ACQUA FRESCA ECOCERT TECN;12057387J;1
C;DLK223104B/DLK;NOA ECOCERT 14B;12060280B;1
C;DLK223270K/DLK;TIARE ECOCERT MOD5;12057366K;1
C;DLK224354BI/DLK;HAREM DK PUIG;12057540BI;1
C;EDF218904J/EDF;SKIP CLASSIQUE LIQUID UNILEVER LOW COST VERSION;12059748J;1
C;EGO163645B/EGO;DOMINIQUE;12050187B;1
C;FCA178641A/FCA;SANTAL LACTÉE  2;12048788A;1
C;FCA223334H/FCA;MALAKI  POUR ITALY   19;12058120H;1
C;FCA224046Y/FCA;TUMULTE   RHUM CACAO;12055636Y;1
C;FCA224599L/FCA;MOJITO   FIZZY SENSATION  19;12058287L;1
C;FCA224599Q/FCA;MOJITO   FIZZY SENSATION;12058287Q;1
C;FCA226026C/FCA;CANNELLE SANTAL   TATOUINE BOUGIE ADV COFORME;12057064C;1
C;FCA228233K/FCA;LE MAQUIS  AU PRINTEMPS   12% PP;12056797K;1
C;FCA229078E/FCA;PURE GARDENIA  10% PP  ESSAI 10;12057071E;1
C;FCA229082F/FCA;AMBRE SOLAIRE   ESSAI  8;12057261F;1
C;FCA229088C/FCA;ONYX 11;12056656C;1
C;FCA229091C/FCA;VIOLETTE  IRIS MIMOSA  PODRE DE RIZ 6;12057135C;1
C;FCA230096/FCA;CREME  DE 8 HEURES   6%  PP;12057049;1
C;FIK031536H/FIK;BLACK BUTTERFLY 8 - 10%;12047427H;1
C;FIK031547/FIK;BEYOND LIMIT 1 - 9%;12047684;1
C;FIK031548S/FIK;LIQUID K1 - 12%;12056063S;1
C;FIK034726AA/FIK;SEA PASSION & SUN 2 - 8%;12057667AA;1
C;FIK034726AB/FIK;SEA PASSION & SUN 3 - 8%;12057667AB;1
C;FIK150841BV/FIK;SKIN CITY  2 - 12%;12047925BV;1
C;FIK157823AD/FIK;ROSE SARI 2G - 10%;12046833AD;1
C;FIK158529H/FIK;LIBERTÉ 1 - 12%;12053511H;1
C;FIK212123CK/FIK;OEIL DU TIGRE 140 V - 10%;12056659CK;1
C;FIK212123CK/FIK;OEIL DU TIGRE 140 V - 10%;12056659CK;1
C;FIK212123EY/FIK;OEIL DU TIGRE 444 - 10%;12056659EY;1
C;FIK220842B/FIK;IONIRIS 4 - 12% PP;12058734B;1
C;FIK221736T/FIK;EXT DE PEAU 7A - 14%;12057939T;1
C;FIK226167/FIK;L'ODEUR DE L'ARGENT (W/O BASMATI RICE+AMBERLYN);12058987;1
C;FIK229886A/FIK;SEVENTIES 2 - 18%;12058012A;1
C;FIK230405D/FIK;NUE CUIR 16 - 5%;12058045D;1
C;FIK230505N/FIK;TIMELESS BEAUTY 30 - 16%;12057805N;1
C;FJJ026345CJ/FJJ;TWIST CK ONE / LIGHT BLUE NATRUE;12055220CJ;1
C;FJJ026345CJ/FJJ;TWIST CK ONE / LIGHT BLUE NATRUE;12055220CJ;1
C;FJJ029134DS/FJJ;TYP CHLOE +FRUIT;12053107DS;1
C;FJJ030385CE/FJJ;TYP LIGHT BLUE;12023724CE;1
C;FJJ030385DC/FJJ;TYP LIGHT BLUE;12023724DC;1
C;FJJ030385DC/FJJ;TYP LIGHT BLUE;12023724DC;1
C;FJJ030385DS/FJJ;TYP LIGHT BLUE;12023724DS;1
C;FJJ030385Y/FJJ;TYP LIGHT BLUE;12023724Y;1
C;FJJ030731CQ/FJJ;TYP BE DELICIOUS/J'ADORE;12049845CQ;1
C;FJJ030731GO/FJJ;ADIOR ORI;12049845GO;1
C;FJJ030731GR/FJJ;ADIOR ORI;12049845GR;1
C;FJJ030731HL/FJJ;ADIOR ORI WAV EUROP;12049845HL;1
C;FJJ030731HM/FJJ;ADIOR ORI;12049845HM;1
C;FJJ030731IY/FJJ;ADIOR DEO EFFECTIF;12049845IY;1
C;FJJ030731KA/FJJ;CACTUS ALOE BARBARIE FIG;12049845KA;1
C;FJJ030731LG/FJJ;ADIOR ORI WAV EUROP;12049845LG;1
C;FJJ030827AR/FJJ;TAJ SUNSET TYP+ MANGUE;12040030AR;1
C;FJJ030827AR/FJJ;TAJ SUNSET TYP+ MANGUE;12040030AR;1
C;FJJ030827AR/FJJ;TAJ SUNSET TYP+ MANGUE;12040030AR;1
C;FJJ030827EL/FJJ;SUNSET FUN;12040030EL;1
C;FJJ030830AS/FJJ;TYP KENZO AMOUR;12043224AS;1
C;FJJ030830BO/FJJ;TYP KENZO AMOUR+POIRE CITRUS;12043224BO;1
C;FJJ030830CT/FJJ;TYP KENZO AMOUR;12043224CT;1
C;FJJ030830EO/FJJ;TYP KENZO AMOUR;12043224EO;1
C;FJJ031538AC/FJJ;TYP GUILTY;12058088AC;1
C;FJJ031538AF/FJJ;TYP GUILTY+ VELTOL;12058088AF;1
C;FJJ034747AD/FJJ;ANGELSHELL;12049923AD;1
C;FJJ034870O/FJJ;DOUCE+ HS;12050416O;1
C;FJJ034870S/FJJ;DOUCE CHANCE;12050416S;1
C;FJJ034870Y/FJJ;DOUCE;12050416Y;1
C;FJJ034871C/FJJ;DELANAIS PEAR;12027149C;1
C;FJJ034871D/FJJ;DELANAIS PEAR;12027149D;1
C;FJJ035555BA/FJJ;COCO PARADISE;12055618BA;1
C;FJJ035555DC/FJJ;COCO PARADISE;12055618DC;1
C;FJJ037290C/FJJ;HYDRAPEAR;12061201C;1
C;FJJ087157F/FJJ;BABYJOJO;12029817F;1
C;FJJ088090AQ/FJJ;VIVA LA JUICY;12053980AQ;1
C;FJJ088090C/FJJ;VIVA LA JUICY;12053980C;1
C;FJJ088090K/FJJ;VIVA LA JUICY;12053980K;1
C;FJJ088090L/FJJ;VIVA LA JUICY;12053980L;1
C;FJJ088090L/FJJ;VIVA LA JUICY;12053980L;1
C;FJJ088091/FJJ;TYP HERBAL ESSENCE HELLO IDRATATION;12042532;1
C;FJJ088091/FJJ;TYP HERBAL ESSENCE HELLO IDRATATION;12042532;1
C;FJJ088091BL/FJJ;TYP HERBAL ESSENCE HELLO IDRATATION;12042532BL;1
C;FJJ088091BX/FJJ;HELLO QUINOA;12042532BX;1
C;FJJ088444AS/FJJ;PECHE +MENTHE NAIR;12055656AS;1
C;FJJ089995I/FJJ;TYP JUICY COUTURE/BEYOND PARADISE;12049433I;1
C;FJJ089995J/FJJ;TYP JUICY COUTURE/BEYOND PARADISE;12049433J;1
C;FJJ089995Q/FJJ;TYP JUICY COUTURE+ FRAIS;12049433Q;1
C;FJJ091158AT/FJJ;TYPE THE ONE + D&G;12055965AT;1
C;FJJ091158K/FJJ;TYPE THE ONE + D&G;12055965K;1
C;FJJ091158K/FJJ;TYPE THE ONE + D&G;12055965K;1
C;FJJ091516J/FJJ;J'ADORE/NARCISSO;12049164J;1
C;FJJ091723/FJJ;YOGA DREAM;12041982;1
C;FJJ091723AJ/FJJ;YOGA DREAM;12041982AJ;1
C;FJJ092195AK/FJJ;TYP CABARET CAPSULE;12052532AK;1
C;FJJ092195AK/FJJ;TYP CABARET CAPSULE;12052532AK;1
C;FJJ092195AX/FJJ;NARC CITRUS;12052532AX;1
C;FJJ092195AY/FJJ;TYP CABARET;12052532AY;1
C;FJJ092250A/FJJ;JADODREAM;12061354A;1
C;FJJ092529P/FJJ;TYP CHLOE HYPO;12055221P;1
C;FJJ101420C/FJJ;DOVE  CREMEUX;12061140C;1
C;FJJ104632F/FJJ;ROSE;12041693F;1
C;FJJ108775/FJJ;AXE DARK TEMPTATION+ COFFEE;12050770;1
C;FJJ108775AH/FJJ;AXE DARK TEMPTATION;12050770AH;1
C;FJJ108776D/FJJ;CODE MEN/SANTAL/VANILLE;12058339D;1
C;FJJ110575F/FJJ;TYP ABRICOT BUTTER;12056898F;1
C;FJJ110716A/FJJ;OMBRE ROSE/CHANEL;12042138A;1
C;FJJ111059H/FJJ;TYP RHUBARBE- PATCH;12042256H;1
C;FJJ111808A/FJJ;THE VERT ET ROSE DU DESERT;12059649A;1
C;FJJ112344K/FJJ;TYP RALPH;12054731K;1
C;FJJ112344N/FJJ;TYP RALPH;12054731N;1
C;FJJ112344S/FJJ;RALPH RASIN;12054731S;1
C;FJJ140984N/FJJ;TYP HYPNOTIC/ORANGE FLOWER +TIARÉ;12052822N;1
C;FJJ141541AB/FJJ;VERSOUNGE++;12052936AB;1
C;FJJ141541AO/FJJ;TYP OCEAN LOUNGE/I;12052936AO;1
C;FJJ141541AO/FJJ;TYP OCEAN LOUNGE/I;12052936AO;1
C;FJJ141541C/FJJ;TYP OCEAN LOUNGE/I;12052936C;1
C;FJJ141761H/FJJ;ANGEL INNOCENT TYP;12052820H;1
C;FJJ142038AI/FJJ;CHERRY R FRAISE+MINT;12050349AI;1
C;FJJ142038BC/FJJ;CHERRY R;12050349BC;1
C;FJJ142038G/FJJ;BERRY DELICIOUS;12050349G;1
C;FJJ162003A/FJJ;TABAC DE JAMAIQUE;12053333A;1
C;FJJ162004G/FJJ;TYP LE MALE/ ONE MILLION/THE ONE;12047771G;1
C;FJJ162007/FJJ;BOSS BOTTLED/FIERCE;12053699;1
C;FJJ162008/FJJ;DIOR HOMME SPORT;12053698;1
C;FJJ162151W/FJJ;AMMONIA FRAMBOISE ROSE;12049945W;1
C;FJJ162411BI/FJJ;TYP VOYAGE/ DIOR HOMME/TERRE HERMÉS;12054477BI;1
C;FJJ162415B/FJJ;FUEL SPIRIT;12053976B;1
C;FJJ162415C/FJJ;FUEL SPIRIT;12053976C;1
C;FJJ162416/FJJ;COUPABLE;12054019;1
C;FJJ162417/FJJ;DEGRE NIGHT;12054020;1
C;FJJ162461U/FJJ;AMANDE;12059905U;1
C;FJJ162625BO/FJJ;BLEU DE CHANEL+FRAIS;12051660BO;1
C;FJJ162625CQ/FJJ;BLEU DE CHANEL+FRAIS;12051660CQ;1
C;FJJ162625D/FJJ;BLEU DE CHANEL;12051660D;1
C;FJJ162625DC/FJJ;BLEU CHANEL FRAIS DEO EFFECTIVE;12051660DC;1
