article_type.code;article.code;article.description;article.commentaire;article.collection
C;ABX165388E/ABX;ROPA LIMPIA;12050392E;1
C;ABX165388H/ABX;ROPA LIMPIA FRESHMATIC;12050392H;1
C;ABX170741F/ABX;FIORE DI LOTO ADOUCISSANT;12060514F;1
C;ABX179912W/ABX;ALMOND BLOSSOM STICKS ZOBELE;12058411W;1
C;ABX179972AD/ABX;APPLE AND CINNAMON FRESHMATIC;12049787AD;1
C;ABX179972F/ABX;JUICY SPLASH PISO;12049787F;1
C;ABX179972P/ABX;APPLE AND CINNAMON PISO;12049787P;1
C;ABX179973/ABX;JSORIE052AH MOD;12049789;1
C;ABX179973AA/ABX;VANILLE CASHMERE FRESHMATIC BEAT THE BEST;12049789AA;1
C;ABX179973AC/ABX;VANILLE CASHMERE FRESHMATIC BEAT THE BEST;12049789AC;1
C;ABX179973AD/ABX;VANILLE CASHMERE SOFTENER;12049789AD;1
C;ABX179973X/ABX;VANILLE CASHMERE PISO BEAT THE BEST;12049789X;1
C;ABX179973X/ABX;VANILLE CASHMERE PISO BEAT THE BEST;12049789X;1
C;ABX180493M/ABX;AQUA DI GIO A PARTIR DE LA NCNC548B;12050361M;1
C;ABX180493N/ABX;AQUA DI GIO A PARTIR DE LA NCNC548B;12050361N;1
C;ABX180493U/ABX;AQUA DI GIO FRESHMATIC A PARTIR DE LA NCNC548B;12050361U;1
C;ABX181255K/ABX;DISH PINK BERRIES;12059216K;1
C;ABX181563M/ABX;USHUAIA COCO MELOCOTON;12061604M;1
C;ABX181590J/ABX;LAVENDER FRESH AND LIGHT A PARTIR DGFLO285AT;12060513J;1
C;ABX181771J/ABX;HERBAL ESSENCE COCO;12049922J;1
C;ABX181903D/ABX;SNOW JASMIN ORCHID APRTIR DGFLO476BI;12050706D;1
C;ABX182007B/ABX;HUGO WOMAN APC;12051267B;1
C;ABX182325G/ABX;PURE AIR;12060339G;1
C;ABX182325O/ABX;PURE AIR FRESHMATIC;12060339O;1
C;ABX182505C/ABX;VANILLE COCO MUSK PISO;12060999C;1
C;ABX182505F/ABX;VANILLE COCO MUSK PISO;12060999F;1
C;ABX182532B/ABX;SPA;12059529B;1
C;ABX182532B/ABX;SPA;12059529B;1
C;ABX182534B/ABX;KENZO HOME DECOR;12051399B;1
C;ABX182660G/ABX;VANILLA PISO BEAT THE BEST;12051656G;1
C;ABX182660L/ABX;VANILLA LAVENDER FRESHMATIC BEAT THE BEST;12051656L;1
C;ABX231276D/ABX;WHITE MUSK FAB SOFT;12060546D;1
C;ABX231281/ABX;AROME BLACKBERRY A PARTIR DE LA BXFRUI069D;12060373;1
C;ABX231346R/ABX;CITRUS ECOVER 100% NAT;12057751R;1
C;ABX231347F/ABX;ODISSEY PISO;12062045F;1
