article_type.code;article.code;article.description
S;D-00090852;JASMIN ABS EXT INDIAN [FFP] @ 10 % in TEC 100% RENEW
S;D-00090995;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in TEC 100% RENEW
S;D-00091067;JASMIN ABS EXT INDIAN [FFP] @ 10 % in BB
S;D-00091396;TUBEROSE ABS INDIAN 100% PURE & NAT EXT A.VIEILLE [FFP] @ 1 % in TEC
S;D-00091426;ORANGE FLOWER WATER ABS EXT A.VIELLE [FFP] @ 10 % in TEC
S;D-00091515;PEPPER SICHUAN ABS CO2 NAT EXT CHARABOT [FFP] @ 10 % in DPG
S;D-00091674;PHEN ETH ALCOHOL [FFP] @ 0.1 % in DPG
S;D-00092527;NONALACTONE, GAMMA RENEW [FFP] @ 1 % in IPM
S;D-00093826;AURANTIOL [FFP] @ 10 % in IPM
S;D-00093952;HEXENYL SAL, CIS 3 [FFP] @ 10 % in DPG
S;D-00094908;AMBROXAN [FFP] @ 0.1 % in DPG
S;D-00095182;PHEN ETH PHEN ACETATE [FFP] @ 1 % in TEC
S;D-00096157;HEDIONE HC [FFP] @ 10 % in DPG
S;D-00096401;PHEN ETH PHEN ACETATE [FFP] @ 10 % in DPG
S;D-00096405;LINALYL ANTH [FFP] @ 10 % in TEC
S;D-00096753;CYCLAL C [FFP] @ 10 % in IPM
S;D-00096754;LIME OIL DIST MEXICAN NAT EO A.VIEILLE [FFP] @ 10 % in DPG
S;D-00097072;PEPPER BLACK OIL NAT EO BONTOUX [FFP] @ 10 % in TEC
S;D-00097123;VANILLIN CX [FFP] @ 10 % in TEC
S;D-00097746;CASTOREUM RDE ABS EXT FIR [FFP] @ 1 % in BB
S;D-00097991;CINNAMON BARK OIL CEYLON EO IFF [FFP] @ 1 % in TEC
S;D-00098369;LIME OIL DIST MEXICAN NAT EO A.VIEILLE [FFP] @ 10 % in TEC
S;D-00098517;ROSE DE MAI ABS EXT A.VIEILLE [FFP] @ 10 % in TEC
S;D-00100170;PHENOXANOL [FFP] @ 10 % in DPG
S;D-00101416;CARDAMONE 196D SUB NB SPIC 003G TEC [FFP] @ 10 % in TEC
S;D-00101419;CARDAMONE 196D SUB NB SPIC 003G TEC [FFP] @ 10 % in TEC 100% RENEW
S;D-00101972;OAKMOSS #1 [FFP] @ 10 % in DBE-LVP EST. FLEXIS.
S;D-00102172;TRIPLAL W/O BHT [FFP] @ 10 % in TEC 100% RENEW
S;D-00102173;HEXEN-1-OL, CIS-3, [FFP] @ 10 % in TEC 100% RENEW
S;D-00102182;NUTMEG OIL H.E. NAT EO CHARABOT [FFP] @ 10 % in TEC 100% RENEW
S;D-00102190;NONALACTONE, GAMMA RENEW [FFP] @ 10 % in TEC 100% RENEW
S;D-00102471;CUMIN OIL NAT EO MPE [FFP] @ 10 % in TEC 100% RENEW
S;D-00103233;BENZOIN SUMATRA RESINOIDE SUPER EXT BIOLANDES [FFP] @ 50 % in TEC 100% RENEW
S;D-00103239;RASPBERRY KETONE [FFP] @ 10 % in TEC 100% RENEW
S;D-00103246;YLANG YLANG OIL COMPLETE MADAGASCAR NAT EO A.VIEILLE [FFP] @ 10 % in TEC 100% RENEW
S;D-00103316;SUEDERAL LT 2010/2015 [FFP] @ 10 % in DPG
S;D-00103645;CYCLOTENE [FFP] @ 10 % in TEC 100% RENEW
S;D-00103864;ROSE ABS ARTESSENCE F2236 [FFP] @ 10 % in TEC
S;D-00104167;SULFUROL [FFP] @ 10 % in TEC
S;D-00104926;YLANG YLANG OIL COMPLETE MADAGASCAR NAT EO A.VIEILLE [FFP] @ 1 % in DPG
S;D-00104988;CASTOREUM RDE ABS EXT FIR [FFP] @ 10 % in BB
S;D-00105313;VANILLIN CX [FFP] @ 10 % in IPM
S;D-00108476;ORRIS ABS EXT IFF [FFP] @ 1 % in IPM
S;D-00108832;ORRIS ABS EXT IFF [FFP] @ 0.1 % in IPM
S;D-00109194;DAMASCENONE [FFP] @ 10 % in DOW
S;D-00109197;ORRIS ABS EXT IFF [FFP] @ 1 % in DOW
S;D-00109199;TRIPLAL W/O BHT [FFP] @ 10 % in DOW
S;D-00109222;ORRIS ABS EXT IFF [FFP] @ 10 % in DOW
S;D-00109502;ORRIS ABS EXT IFF [FFP] @ 10 % in DOWANOL DPMA
S;D-00110047;MENTHE PAYS OIL N/D EO?MPE [FFP] @ 1 % in DPG
S;D-00110207;LAVENDER OIL MAILLETTE EO BIOLANDES [FFP] @ 10 % in TEC
S;D-00110208;GERANYL ACET EXTRA [FFP] @ 10 % in TEC
S;D-00110209;COUMARIN [FFP] @ 1 % in TEC
S;D-00110210;DAMASCENONE [FFP] @ 0.1 % in TEC
S;D-00110377;YLANG YLANG OIL COMPLETE MADAGASCAR NAT EO A.VIEILLE [FFP] @ 10 % in TEC
S;D-00111090;RASPBERRY KETONE [FFP] @ 10 % in IPM
S;D-00111180;ANISE OIL CHINESE NAT EO REYNAUD [FFP] @ 10 % in IPM
S;D-00111674;ALLYL CYCLOHEXYL PROP [FFP] @ 10 % in IPM
