article_type.code;article.code;article.description
S;D-00058095;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in DOW
S;D-00058294;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in HEDIONE
S;D-00058427;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 1 % in TEC
S;D-00058501;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 0.1 % in DPG
S;D-00058549;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in TEC
S;D-00058856;BIRCH LEAF SUB NBGREE004Q LVMH SAFE [FFP] @ 10 % in IPM
S;D-00058860;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in IPM
S;D-00058978;JASMIN SAMBAC SUB ML FLO 001 [FFP] @ 10 % in TEC
S;D-00058981;MANDARINAL 32048 SAEF SUB NB BASE 021F [FFP] @ 10 % in TEC
S;D-00058998;JASMIN SAMBAC SUB ML FLO 001 [FFP] @ 1 % in DPG
S;D-00058999;JASMIN SAMBAC SUB ML FLO 001 [FFP] @ 10 % in IPM
S;D-00059009;MANDARINAL 32048 SAEF SUB NB BASE 021F [FFP] @ 10 % in IPM
S;D-00059055;DAMASCENONE [FFP] @ 10 % in TEC
S;D-00059057;CYCLAL C [FFP] @ 10 % in DPG
S;D-00059061;MENTHE PAYS OIL N/D EO?MPE [FFP] @ 10 % in DPG
S;D-00059067;MELONAL [FFP] @ 10 % in TEC
S;D-00059071;ORANGE FLOWER ABS SUB KFFLO 016M [FFP] @ 1 % in TEC
S;D-00059072;ORRIS ABS EXT IFF [FFP] @ 10 % in DPG
S;D-00059075;METH ANTH [FFP] @ 1 % in DPG
S;D-00059078;DAMASCENONE [FFP] @ 10 % in IPM
S;D-00059079;CLOVE LEAF OIL REDIST EO VENTOS [FFP] @ 10 % in DPG
S;D-00059080;LEVISTAMEL 30% / TEC 70% [FFP] @ 1 % in TEC
S;D-00059081;TRIPLAL W/O BHT [FFP] @ 10 % in TEC
S;D-00059082;CORINAL [FFP] @ 10 % in DPG
S;D-00059083;BIRCH LEAF SUB NBGREE004Q LVMH SAFE [FFP] @ 10 % in TEC
S;D-00059087;NONALACTONE, GAMMA RENEW [FFP] @ 10 % in DPG
S;D-00059088;CALONE 1951 [FFP] @ 1 % in TEC
S;D-00059092;COUMARIN [FFP] @ 1 % in DPG
S;D-00059093;CUMIN OIL NAT EO MPE [FFP] @ 10 % in TEC
S;D-00059096;DAMASCENONE TOTAL [FFP] @ 10 % in TEC
S;D-00059103;INDOLE CX [FFP] @ 10 % in TEC
S;D-00059105;DAMASCONE BETA [FFP] @ 10 % in TEC
S;D-00059106;DIMETH SULFIDE @ 1% TEC [FFP] @ 10 % in DPG
S;D-00059107;CUMIN OIL NAT EO MPE [FFP] @ 1 % in TEC
S;D-00059108;OAKMOSS #1 [FFP] @ 10 % in TEC
S;D-00059109;PATCHOULY OIL DM EO AGUZON [FFP] @ 10 % in DPG
S;D-00059111;EBANOL [FFP] @ 10 % in TEC
S;D-00059116;CLARY SAGE ABS 11/01717 EXT REYNAUD [FFP] @ 50 % in DPG
S;D-00059117;AURANTIOL [FFP] @ 10 % in TEC
S;D-00059120;GUAIACWOOD OIL NAT EO MPE [FFP] @ 10 % in DPG
S;D-00059121;PHEN ACETALD DMA [FFP] @ 10 % in DPG
S;D-00059122;VANILLIN [FFP] @ 10 % in TEC
S;D-00059123;COUMARIN [FFP] @ 10 % in DPG
S;D-00059125;METH ANTH [FFP] @ 10 % in IPM
S;D-00059126;METH ANTH [FFP] @ 10 % in TEC
S;D-00059128;YLANG OIL EXTRA EO BERNERDI [FFP] @ 10 % in DPG
S;D-00059129;CHAMOMILE OIL ROMAN [FFP] @ 10 % in DPG
S;D-00059132;AMBROXAN [FFP] @ 5 % in DPG
S;D-00059135;CUMIN OIL NAT EO MPE [FFP] @ 1 % in DPG
S;D-00059136;ADOXAL [FFP] @ 10 % in DPG
S;D-00059138;CASTOREUM RDE ABS EXT FIR [FFP] @ 10 % in TEC
S;D-00059139;BENZALD [FFP] @ 1 % in DPG
S;D-00059140;JASMIN ABS EXT INDIAN [FFP] @ 10 % in DPG
S;D-00059144;NONALACTONE, GAMMA RENEW [FFP] @ 10 % in TEC
S;D-00059148;BENZOIN SUMATRA RESINOIDE SUPER EXT BIOLANDES [FFP] @ 50 % in DPG
S;D-00059149;OZONAL SUB KF OZON 001 IN DPG [FFP] @ 10 % in DPG
S;D-00059150;HEXEN-1-OL, CIS-3, [FFP] @ 1 % in DPG
S;D-00059152;ORANGE FLOWER ABS SUB KFFLO 016M [FFP] @ 10 % in TEC
S;D-00059153;RASPBERRY KETONE [FFP] @ 10 % in DPG
S;D-00059157;PEPPER BLACK OIL NAT EO BONTOUX [FFP] @ 10 % in DPG
S;D-00059158;ORANGE FLOWER ABS SUB KFFLO 016M [FFP] @ 1 % in DPG
S;D-00059161;CYCLAL C [FFP] @ 10 % in BB
S;D-00059162;JASMIN SAMBAC SUB ML FLO 001 [FFP] @ 10 % in BB
S;D-00059167;PHEN ACETALD DMA [FFP] @ 10 % in TEC
