20170517051557000102|17137010|JDM301382S/MBA|20170517|20170522|0.102|kg|||T
D-00000211|1|100|10|0|mg|S||2|1||201705190956|0
D-00000211|1|100|10|80|mg|<||2|2|HSAUD|201705221052|9
D-00000211|1|20|10|0|mg|<||2|2|HSAUD|201705221052|10
D-00000211|1|20|10|20|mg|T||2|2|HSAUD|201705221052|0
D-00000156|2|100|10|0|mg|S||2|1||201705190956|0
D-00000156|2|100|10|90|mg|T||2|2|HSAUD|201705221051|9
D-00000857|3|500|10|490|mg|T|170403141948|1|1||201705171840|15
D-00000857|3|500|10|501|mg|T|170403141948|1|2||201705191110|14
D-00000468|4|300|10|302|mg|T|170403141122|1|1||201705171850|39
D-00000468|4|300|10|307|mg|T|170403141122|1|2||201705191122|100
FFP001073|5|600|10|0|mg|S||2|1||201705190956|0
FFP001073|5|600|10|590|mg|T||2|2|HSAUD|201705221032|23
002001|6|1000|10|1002|mg|T|435436|1|1||201705171843|13
002001|6|1000|10|999|mg|T|435436|1|2||201705191114|13
D-00012627|7|200|10|0|mg|S||2|1||201705190956|0
D-00012627|7|200|10|200|mg|T||2|2|HSAUD|201705221023|12
090260|8|5000|30|4984|mg|T|438468|1|1||201705171855|18
090260|8|5000|30|5000|mg|T|438468|1|2||201705191129|15
002051|9|1500|20|1481|mg|T|431974|1|1||201705171837|19
002051|9|1500|20|1494|mg|T|431974|1|2||201705191108|13
003340|10|300|10|0|mg|S||2|1||201705190956|0
003340|10|300|10|300|mg|T||2|2|HSAUD|201705221008|20
003028|11|1000|10|0|mg|S||1|1||201705171854|0
003028|11|1000|10|0|mg|S||2|1||201705190956|0
003028|11|1000|10|0|mg|S||1|2||201705191126|0
003028|11|1000|10|1010|mg|T||2|2|HSAUD|201705221036|14
D-00002728|12|300|10|0|mg|S||2|1||201705190956|0
D-00002728|12|300|10|310|mg|T||2|2|HSAUD|201705221019|8
003336|13|3000|30|3001|mg|T|436126|1|1||201705171851|17
003336|13|3000|30|2988|mg|T|436126|1|2||201705191124|17
FFP003042|14|2500|30|2486|mg|T|439323|1|1||201705171844|20
FFP003042|14|2500|30|2295|mg|<|439323|1|2||201705191114|175
FFP003042|14|205|25|220|mg|T||2|2|HSAUD|201705221042|17
FFP003078|15|100|10|0|mg|S||2|1||201705190956|0
FFP003078|15|100|10|5300|mg|>||2|2|HSAUD|201705221053|12
D-00052492|16|500|10|0|mg|S||2|1||201705190956|0
